Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41
ENSG00000110799,ENSG00000174827,ENSG00000143578,ENSG00000105894,ENSG00000196177,ENSG00000106809,ENSG00000133048,ENSG00000158869,ENSG00000144476,ENSG00000101000,ENSG00000143369,ENSG00000159763,ENSG00000160213,ENSG00000167972,ENSG00000107537,ENSG00000161281,ENSG00000129437,ENSG00000121769,ENSG00000131771,ENSG00000159200,ENSG00000104267,ENSG00000140545,ENSG00000169129,ENSG00000159212,ENSG00000161249,ENSG00000099953,ENSG00000169347,ENSG00000173432,ENSG00000185633,ENSG00000147872,ENSG00000143546,ENSG00000165272,ENSG00000169442,ENSG00000186832,ENSG00000122641,ENSG00000105290,ENSG00000073849,ENSG00000047457,ENSG00000105825,ENSG00000163993,ENSG00000178372
ENSG00000127920,ENSG00000153002,ENSG00000135052,ENSG00000182253,ENSG00000187097,ENSG00000183569,ENSG00000104332,ENSG00000141424,ENSG00000115380,ENSG00000119711,ENSG00000197249,,ENSG00000130635,ENSG00000130222,ENSG00000141741,ENSG00000153234,ENSG00000161634,ENSG00000138821,,ENSG00000006210,ENSG00000179862,ENSG00000075618,ENSG00000173267,,ENSG00000198300,,ENSG00000075886,ENSG00000186847,ENSG00000126878,ENSG00000166123,ENSG00000143556,ENSG00000019102,ENSG00000118849,ENSG00000006016,ENSG00000139194,ENSG00000163631,ENSG00000079385,ENSG00000107984,ENSG00000108515,,
ENSG00000170989,ENSG00000162746,ENSG00000109814,ENSG00000157404,ENSG00000157303,ENSG00000110169,ENSG00000102837,ENSG00000109220,ENSG00000005249,ENSG00000112562,ENSG00000120875,,ENSG00000100292,ENSG00000163536,ENSG00000186395,ENSG00000149150,,ENSG00000166825,,ENSG00000197696,,ENSG00000132688,ENSG00000158270,,ENSG00000164879,,,ENSG00000134339,ENSG00000181458,ENSG00000162551,,ENSG00000161055,ENSG00000117115,ENSG00000175592,ENSG00000165474,ENSG00000106927,ENSG00000173110,ENSG00000229314,ENSG00000143632,,
ENSG00000136826,ENSG00000146205,ENSG00000134352,ENSG00000196549,ENSG00000074410,ENSG00000179593,ENSG00000124102,ENSG00000021355,ENSG00000139211,ENSG00000103876,,,ENSG00000162511,ENSG00000198125,ENSG00000143387,ENSG00000179456,,ENSG00000095739,,ENSG00000105088,,ENSG00000168994,ENSG00000113296,,ENSG00000130595,,,,ENSG00000134755,ENSG00000099958,,ENSG00000178363,ENSG00000105374,ENSG00000019169,ENSG00000166923,ENSG00000135346,ENSG00000162174,ENSG00000171564,ENSG00000196091,,
ENSG00000197766,ENSG00000188996,ENSG00000099194,ENSG00000198848,ENSG00000137501,ENSG00000124713,ENSG00000187699,ENSG00000120306,,ENSG00000106853,,,ENSG00000052802,ENSG00000135549,ENSG00000141736,ENSG00000049089,,ENSG00000181649,,ENSG00000196878,,ENSG00000122694,ENSG00000100031,,ENSG00000131730,,,,ENSG00000121552,ENSG00000109107,,ENSG00000176153,ENSG00000172724,ENSG00000163661,ENSG00000025423,ENSG00000059915,ENSG00000081181,ENSG00000185559,ENSG00000130598,,
ENSG00000111859,ENSG00000243480,ENSG00000109436,ENSG00000160307,ENSG00000117472,ENSG00000116194,,ENSG00000164284,,ENSG00000143248,,,ENSG00000072274,ENSG00000112796,ENSG00000073060,ENSG00000172602,,ENSG00000198417,,ENSG00000188783,,ENSG00000148803,ENSG00000171236,,ENSG00000101605,,,,ENSG00000154277,ENSG00000204632,,ENSG00000170835,ENSG00000254709,ENSG00000163739,ENSG00000135744,ENSG00000114200,ENSG00000167549,ENSG00000171557,ENSG00000177791,,
ENSG00000162772,ENSG00000229859,ENSG00000119699,ENSG00000167641,ENSG00000163040,ENSG00000019991,,ENSG00000072042,,ENSG00000107562,,,ENSG00000122861,ENSG00000100003,ENSG00000187608,ENSG00000156968,,ENSG00000103485,,ENSG00000103710,,ENSG00000253958,ENSG00000102886,,ENSG00000130528,,,,ENSG00000163347,ENSG00000205362,,ENSG00000171401,ENSG00000227507,ENSG00000092758,ENSG00000117586,ENSG00000034971,ENSG00000080493,ENSG00000146453,ENSG00000101470,,
ENSG00000131471,,ENSG00000104447,ENSG00000162896,ENSG00000171428,ENSG00000134201,,ENSG00000143119,,ENSG00000159423,,,ENSG00000116774,ENSG00000101213,ENSG00000136048,ENSG00000069702,,ENSG00000154553,,ENSG00000104783,,ENSG00000137726,ENSG00000160867,,ENSG00000157017,,,,ENSG00000167772,ENSG00000205364,,ENSG00000108602,ENSG00000105369,ENSG00000188015,ENSG00000104435,ENSG00000129167,ENSG00000140807,ENSG00000171560,ENSG00000143318,,
ENSG00000117525,,ENSG00000197119,ENSG00000180914,ENSG00000108176,ENSG00000096088,,ENSG00000130208,,ENSG00000157613,,,ENSG00000186480,ENSG00000132329,ENSG00000115107,ENSG00000144485,,ENSG00000064655,,ENSG00000102554,,ENSG00000183018,ENSG00000113924,,ENSG00000108823,,,,ENSG00000167799,ENSG00000100285,,ENSG00000122852,ENSG00000172005,ENSG00000243955,ENSG00000163959,ENSG00000164266,ENSG00000204323,ENSG00000182333,ENSG00000173991,,
ENSG00000108551,,ENSG00000158467,ENSG00000135447,ENSG00000168350,ENSG00000158104,,ENSG00000139433,,ENSG00000104368,,,ENSG00000198502,ENSG00000163141,ENSG00000143333,ENSG00000167034,,ENSG00000152766,,ENSG00000078401,,ENSG00000213398,ENSG00000214456,,ENSG00000118194,,,,ENSG00000148926,ENSG00000198732,,ENSG00000175535,ENSG00000145287,ENSG00000107159,ENSG00000106258,ENSG00000109072,ENSG00000271043,,ENSG00000114854,,
ENSG00000095637,,ENSG00000143412,ENSG00000081041,ENSG00000185133,ENSG00000036448,,ENSG00000152620,,ENSG00000091986,,,ENSG00000134531,ENSG00000119938,ENSG00000173599,ENSG00000106688,,ENSG00000242265,,ENSG00000172201,,ENSG00000121690,ENSG00000167653,,ENSG00000109061,,,,ENSG00000064886,ENSG00000103034,,ENSG00000168925,ENSG00000105717,ENSG00000205420,,ENSG00000089199,ENSG00000125787,,ENSG00000196218,,
ENSG00000122877,,ENSG00000148344,ENSG00000168309,ENSG00000003989,ENSG00000099984,,ENSG00000143320,,ENSG00000122971,,,ENSG00000011600,ENSG00000172236,ENSG00000118898,ENSG00000068078,,ENSG00000172403,,ENSG00000171346,,,ENSG00000100033,,ENSG00000159251,,,,ENSG00000140379,ENSG00000172828,,ENSG00000172016,,ENSG00000131094,,ENSG00000029534,,,ENSG00000077522,,
ENSG00000123689,,ENSG00000049759,ENSG00000053438,ENSG00000101210,ENSG00000170890,,ENSG00000128944,,ENSG00000120915,,,ENSG00000119917,ENSG00000183044,ENSG00000184292,ENSG00000134184,,ENSG00000108352,,ENSG00000062282,,,ENSG00000185303,,,,,,ENSG00000169583,ENSG00000142748,,ENSG00000142789,,ENSG00000073756,,ENSG00000118137,,,ENSG00000148677,,
ENSG00000119927,,ENSG00000013588,ENSG00000163710,ENSG00000144218,,,ENSG00000204388,,ENSG00000074527,,,ENSG00000102760,ENSG00000130513,ENSG00000176890,ENSG00000137285,,ENSG00000119535,,ENSG00000184254,,,ENSG00000023839,,,,,,ENSG00000147889,ENSG00000176919,,ENSG00000168928,,ENSG00000167656,,ENSG00000100604,,,ENSG00000068976,,
ENSG00000175445,,ENSG00000168234,ENSG00000103044,ENSG00000162482,,,ENSG00000075239,,ENSG00000143196,,,ENSG00000112972,ENSG00000088002,ENSG00000090339,ENSG00000166592,,ENSG00000185482,,ENSG00000137077,,,ENSG00000179761,,,,,,ENSG00000182853,ENSG00000181652,,ENSG00000219073,,ENSG00000164776,,ENSG00000204983,,,ENSG00000160808,,
ENSG00000136960,,ENSG00000139410,ENSG00000187134,ENSG00000136457,,,ENSG00000132002,,ENSG00000106483,,,ENSG00000169136,ENSG00000175287,ENSG00000019549,ENSG00000204421,,ENSG00000053747,,ENSG00000162878,,,ENSG00000042832,,,,,,ENSG00000162882,ENSG00000105697,,,,ENSG00000178934,,ENSG00000168878,,,ENSG00000156885,,
ENSG00000170323,,ENSG00000113739,ENSG00000114378,ENSG00000167964,,,ENSG00000023330,,ENSG00000197614,,,ENSG00000010610,ENSG00000105048,ENSG00000159231,ENSG00000103316,,ENSG00000164309,,ENSG00000064300,,,ENSG00000143536,,,,,,ENSG00000081277,ENSG00000118004,,,,ENSG00000183036,,ENSG00000131400,,,ENSG00000196296,,
ENSG00000189129,,ENSG00000168743,ENSG00000152154,ENSG00000150667,,,ENSG00000170458,,ENSG00000138615,,,ENSG00000124225,ENSG00000139970,ENSG00000123095,ENSG00000101405,,ENSG00000198523,,ENSG00000137699,,,,,,,,,ENSG00000135069,ENSG00000087250,,,,ENSG00000169474,,ENSG00000162267,,,ENSG00000170290,,
ENSG00000244734,,ENSG00000134202,ENSG00000134121,ENSG00000161653,,,ENSG00000157911,,ENSG00000099864,,,ENSG00000117394,ENSG00000173531,ENSG00000103257,ENSG00000171747,,ENSG00000175315,,ENSG00000112936,,,,,,,,,ENSG00000105173,ENSG00000141505,,,,ENSG00000115138,,ENSG00000130649,,,ENSG00000180209,,
ENSG00000135218,,ENSG00000164237,ENSG00000169282,ENSG00000197165,,,ENSG00000179344,,ENSG00000106823,,,ENSG00000106333,ENSG00000134020,ENSG00000105270,,,ENSG00000167711,,ENSG00000117594,,,,,,,,,ENSG00000125775,ENSG00000118271,,,,ENSG00000108839,,ENSG00000240891,,,ENSG00000122367,,
ENSG00000004776,,ENSG00000139629,ENSG00000136842,ENSG00000125780,,,ENSG00000100889,,ENSG00000152804,,,ENSG00000066336,,ENSG00000162444,,,ENSG00000168389,,ENSG00000160191,,,,,,,,,ENSG00000088836,ENSG00000175003,,,,ENSG00000133710,,ENSG00000158874,,,ENSG00000159173,,
ENSG00000179388,,ENSG00000131037,ENSG00000087237,,,,ENSG00000106565,,ENSG00000127863,,,ENSG00000135245,,ENSG00000134463,,,ENSG00000128591,,ENSG00000138131,,,,,,,,,ENSG00000144354,,,,,ENSG00000169469,,ENSG00000136872,,,ENSG00000165887,,
ENSG00000125740,,ENSG00000124839,ENSG00000163734,,,,ENSG00000176894,,ENSG00000163072,,,ENSG00000118785,,ENSG00000002933,,,ENSG00000164761,,ENSG00000125257,,,,,,,,,ENSG00000188505,,,,,ENSG00000188508,,ENSG00000118520,,,ENSG00000163126,,
ENSG00000079435,,ENSG00000162078,ENSG00000157315,,,,ENSG00000120158,,ENSG00000166816,,,ENSG00000125730,,ENSG00000141574,,,ENSG00000138356,,ENSG00000196083,,,,,,,,,ENSG00000136943,,,,,ENSG00000115590,,ENSG00000110245,,,ENSG00000133878,,
ENSG00000112964,,ENSG00000115255,,,,,ENSG00000085662,,ENSG00000131781,,,ENSG00000166741,,ENSG00000169991,,,ENSG00000100918,,ENSG00000085563,,,,,,,,,ENSG00000163032,,,,,ENSG00000174564,,ENSG00000091583,,,ENSG00000086967,,
ENSG00000136160,,ENSG00000184730,,,,,ENSG00000001084,,ENSG00000140961,,,ENSG00000186340,,ENSG00000138061,,,ENSG00000101194,,ENSG00000187260,,,,,,,,,ENSG00000128965,,,,,ENSG00000204248,,ENSG00000135423,,,ENSG00000139914,,
ENSG00000184113,,ENSG00000213903,,,,,ENSG00000184232,,ENSG00000154175,,,ENSG00000111799,,ENSG00000155850,,,ENSG00000171033,,ENSG00000129194,,,,,,,,,ENSG00000091513,,,,,ENSG00000163221,,ENSG00000168484,,,ENSG00000104879,,
ENSG00000132170,,ENSG00000171766,,,,,ENSG00000167315,,ENSG00000136059,,,ENSG00000174807,,ENSG00000105519,,,ENSG00000132821,,ENSG00000136002,,,,,,,,,ENSG00000143882,,,,,ENSG00000241794,,ENSG00000169605,,,ENSG00000124701,,
ENSG00000169418,,ENSG00000163545,,,,,ENSG00000176974,,ENSG00000156113,,,ENSG00000135929,,ENSG00000059804,,,ENSG00000154065,,ENSG00000125845,,,,,,,,,ENSG00000248485,,,,,ENSG00000203785,,ENSG00000132693,,,ENSG00000120729,,
ENSG00000076555,,ENSG00000196502,,,,,ENSG00000101577,,ENSG00000173175,,,ENSG00000105655,,ENSG00000169245,,,ENSG00000149596,,ENSG00000112299,,,,,,,,,ENSG00000186806,,,,,ENSG00000167768,,ENSG00000139540,,,ENSG00000155657,,
ENSG00000167676,,ENSG00000134716,,,,,ENSG00000059728,,ENSG00000168237,,,ENSG00000153395,,ENSG00000159674,,,ENSG00000145358,,ENSG00000050767,,,,,,,,,ENSG00000115919,,,,,ENSG00000173338,,,,,ENSG00000138100,,
ENSG00000166819,,ENSG00000107821,,,,,ENSG00000126522,,ENSG00000102934,,,ENSG00000102575,,ENSG00000177575,,,ENSG00000106772,,ENSG00000092295,,,,,,,,,ENSG00000118402,,,,,ENSG00000148600,,,,,ENSG00000010282,,
ENSG00000138207,,ENSG00000172456,,,,,ENSG00000169715,,ENSG00000156427,,,ENSG00000160255,,ENSG00000088325,,,ENSG00000160097,,ENSG00000131095,,,,,,,,,ENSG00000131015,,,,,ENSG00000169509,,,,,ENSG00000183091,,
ENSG00000079337,,ENSG00000115687,,,,,ENSG00000132965,,ENSG00000182902,,,ENSG00000163472,,ENSG00000137563,,,ENSG00000100628,,ENSG00000101670,,,,,,,,,ENSG00000128298,,,,,ENSG00000172867,,,,,ENSG00000125414,,
ENSG00000196616,,ENSG00000128045,,,,,ENSG00000151503,,ENSG00000138115,,,ENSG00000173156,,ENSG00000162654,,,ENSG00000171195,,ENSG00000152463,,,,,,,,,ENSG00000100473,,,,,ENSG00000174236,,,,,ENSG00000172399,,
ENSG00000129596,,ENSG00000167394,,,,,ENSG00000145012,,ENSG00000188761,,,ENSG00000151726,,ENSG00000088882,,,ENSG00000169885,,ENSG00000185615,,,,,,,,,ENSG00000126233,,,,,ENSG00000120937,,,,,ENSG00000239474,,
ENSG00000167588,,ENSG00000160188,,,,,ENSG00000242574,,,,,ENSG00000130529,,ENSG00000127951,,,ENSG00000109063,,ENSG00000158516,,,,,,,,,ENSG00000140519,,,,,ENSG00000148795,,,,,ENSG00000092054,,
ENSG00000164530,,ENSG00000205517,,,,,ENSG00000143226,,,,,ENSG00000164932,,ENSG00000137752,,,ENSG00000118514,,,,,,,,,,,ENSG00000104833,,,,,ENSG00000215704,,,,,ENSG00000111245,,
ENSG00000157150,,ENSG00000155666,,,,,ENSG00000181885,,,,,ENSG00000006453,,ENSG00000205413,,,ENSG00000009724,,,,,,,,,,,ENSG00000243566,,,,,ENSG00000142615,,,,,ENSG00000158022,,
ENSG00000187288,,ENSG00000140479,,,,,ENSG00000102743,,,,,ENSG00000157601,,ENSG00000142627,,,ENSG00000197580,,,,,,,,,,,ENSG00000010438,,,,,ENSG00000164816,,,,,ENSG00000168530,,
ENSG00000241644,,ENSG00000004838,,,,,ENSG00000110446,,,,,ENSG00000106366,,ENSG00000197142,,,ENSG00000126861,,,,,,,,,,,ENSG00000160282,,,,,,,,,,ENSG00000182676,,
ENSG00000116678,,ENSG00000171476,,,,,ENSG00000139508,,,,,ENSG00000119862,,ENSG00000117399,,,ENSG00000078814,,,,,,,,,,,ENSG00000066230,,,,,,,,,,ENSG00000129170,,
ENSG00000154330,,ENSG00000204305,,,,,ENSG00000145824,,,,,ENSG00000145423,,ENSG00000135678,,,,,,,,,,,,,,ENSG00000219607,,,,,,,,,,ENSG00000197893,,
ENSG00000168477,,ENSG00000123453,,,,,ENSG00000038945,,,,,ENSG00000178726,,ENSG00000113070,,,,,,,,,,,,,,ENSG00000160200,,,,,,,,,,ENSG00000077009,,
ENSG00000126218,,ENSG00000242110,,,,,ENSG00000008853,,,,,ENSG00000164949,,ENSG00000106484,,,,,,,,,,,,,,ENSG00000145248,,,,,,,,,,ENSG00000186628,,
ENSG00000120049,,ENSG00000125650,,,,,ENSG00000110852,,,,,ENSG00000038427,,ENSG00000105427,,,,,,,,,,,,,,ENSG00000115386,,,,,,,,,,ENSG00000197616,,
ENSG00000169252,,ENSG00000125618,,,,,ENSG00000104894,,,,,ENSG00000041982,,ENSG00000175063,,,,,,,,,,,,,,ENSG00000172179,,,,,,,,,,,,
ENSG00000136244,,ENSG00000139344,,,,,ENSG00000115425,,,,,ENSG00000143110,,ENSG00000099994,,,,,,,,,,,,,,ENSG00000198336,,,,,,,,,,,,
ENSG00000173641,,ENSG00000164406,,,,,ENSG00000100577,,,,,ENSG00000116701,,ENSG00000162493,,,,,,,,,,,,,,ENSG00000105679,,,,,,,,,,,,
ENSG00000163884,,ENSG00000183773,,,,,ENSG00000095303,,,,,ENSG00000124466,,ENSG00000137198,,,,,,,,,,,,,,ENSG00000179751,,,,,,,,,,,,
ENSG00000162706,,,,,,,ENSG00000161267,,,,,ENSG00000096696,,ENSG00000135919,,,,,,,,,,,,,,ENSG00000172023,,,,,,,,,,,,
ENSG00000119508,,,,,,,ENSG00000076864,,,,,ENSG00000184363,,ENSG00000176387,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000160801,,,,,,,ENSG00000166278,,,,,ENSG00000158186,,ENSG00000173898,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000118729,,,,,,,ENSG00000136371,,,,,ENSG00000198682,,ENSG00000111247,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000018625,,,,,,,ENSG00000173391,,,,,ENSG00000178104,,ENSG00000150782,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000198865,,,,,,,ENSG00000159640,,,,,ENSG00000147883,,ENSG00000114115,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000154262,,,,,,,ENSG00000115525,,,,,ENSG00000178531,,ENSG00000167617,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000181856,,,,,,,ENSG00000006534,,,,,ENSG00000182636,,ENSG00000111206,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000124253,,,,,,,ENSG00000102967,,,,,ENSG00000104140,,ENSG00000171840,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000017427,,,,,,,ENSG00000106404,,,,,ENSG00000168386,,ENSG00000129521,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000135437,,,,,,,ENSG00000113790,,,,,ENSG00000000971,,ENSG00000178860,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000266964,,,,,,,ENSG00000154146,,,,,ENSG00000187688,,ENSG00000048740,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000106631,,,,,,,ENSG00000107742,,,,,ENSG00000124785,,ENSG00000104490,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000006128,,,,,,,ENSG00000108187,,,,,ENSG00000133985,,ENSG00000023445,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000115705,,,,,,,ENSG00000135094,,,,,ENSG00000100985,,ENSG00000183696,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000170509,,,,,,,ENSG00000154040,,,,,ENSG00000166920,,ENSG00000137959,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000132837,,,,,,,ENSG00000120756,,,,,ENSG00000184500,,ENSG00000101447,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000108342,,,,,,,ENSG00000137880,,,,,ENSG00000134317,,ENSG00000253368,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000206172,,,,,,,ENSG00000138030,,,,,ENSG00000170545,,ENSG00000136689,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000140465,,,,,,,ENSG00000137094,,,,,ENSG00000144810,,ENSG00000072832,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000091704,,,,,,,ENSG00000186352,,,,,ENSG00000172348,,ENSG00000125144,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000196565,,,,,,,ENSG00000116761,,,,,ENSG00000064989,,ENSG00000154556,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ENSG00000104154,,,,,ENSG00000166250,,ENSG00000166922,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ENSG00000149260,,,,,ENSG00000060558,,ENSG00000185567,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ENSG00000204444,,,,,ENSG00000182272,,ENSG00000119630,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ENSG00000167600,,,,,ENSG00000014914,,ENSG00000145506,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ENSG00000106804,,,,,ENSG00000164647,,ENSG00000108950,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000134824,,ENSG00000158825,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000163431,,ENSG00000166831,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000134321,,ENSG00000178826,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000204482,,ENSG00000073605,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000135318,,ENSG00000060982,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000077157,,ENSG00000114270,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000152377,,ENSG00000215252,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000110042,,ENSG00000035664,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000154856,,ENSG00000125538,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000123342,,ENSG00000167701,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000115226,,ENSG00000166823,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000082196,,ENSG00000115523,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000162614,,ENSG00000160111,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000000938,,ENSG00000160883,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000068650,,ENSG00000103569,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000101230,,ENSG00000160886,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000128606,,ENSG00000142583,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000147408,,ENSG00000198576,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000146122,,ENSG00000183628,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000132561,,ENSG00000244617,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000135114,,ENSG00000172346,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000158715,,ENSG00000085265,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000170909,,ENSG00000178222,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000241399,,ENSG00000106327,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000065320,,ENSG00000064692,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000183486,,ENSG00000142494,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000196407,,ENSG00000021826,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000121577,,ENSG00000110076,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000092607,,ENSG00000101307,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000176920,,ENSG00000124920,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000163132,,ENSG00000124116,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000186907,,ENSG00000241935,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000116990,,ENSG00000196329,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000132530,,ENSG00000159197,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000186998,,ENSG00000242220,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000003436,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000197380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000188906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000137857,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000077943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000083807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000018280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000183682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000124731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000128594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000172382,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000137392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000129007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000075073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000100197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000142959,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ENSG00000169031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
