,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6
ENSG00000120049,0.0030061412139924678,0.0,0.0,0.0,0.0,0.0
ENSG00000166819,0.005231907169273573,0.0,0.0,0.0,0.0,0.0
ENSG00000079435,0.006371933634173651,0.0,0.0,0.0,0.0,0.0
ENSG00000187288,0.004017236114409799,0.0,0.0,0.0,0.0,0.0
ENSG00000153002,0.0,0.10780370072405471,0.0,0.0,0.0,0.0
ENSG00000109436,0.0,0.0,0.003266460147847483,0.0,0.0,0.0
ENSG00000180914,0.0,0.0,0.0,0.004652788983916949,0.0,0.0
ENSG00000113739,0.0,0.0,0.0032155890471842847,0.0,0.0,0.0
ENSG00000150667,0.0,0.0,0.0,0.0,0.03686244932591685,0.0
ENSG00000167676,0.005679774709055746,0.0,0.0,0.0,0.0,0.0
ENSG00000104447,0.0,0.0,0.0032637827214967883,0.0,0.0,0.0
ENSG00000171428,0.0,0.0,0.0,0.0,0.05166399547468653,0.0
ENSG00000183569,0.0,0.0,0.0,0.005789091495885106,0.0,0.0
ENSG00000157150,0.004275099243375292,0.0,0.0,0.0,0.0,0.0
ENSG00000104332,0.0,0.0,0.0,0.006885051906836641,0.0,0.0
ENSG00000160307,0.0,0.0,0.0,0.005217578398149642,0.0,0.0
ENSG00000141424,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000167588,0.004505818885081261,0.0,0.0,0.0,0.0,0.0
ENSG00000135218,0.006711227224917721,0.0,0.0,0.0,0.0,0.0
ENSG00000005249,0.0,0.0,0.0,0.008068420203324189,0.0,0.0
ENSG00000136457,0.0,0.0,0.0,0.0,0.043697558216272275,0.0
ENSG00000175445,0.007695178638075527,0.0,0.0,0.0,0.0,0.0
ENSG00000074527,0.00804804397244936,0.0,0.0,0.0,0.0,0.0
ENSG00000138615,0.007810538458928511,0.0,0.0,0.0,0.0,0.0
ENSG00000134352,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000120875,0.008081973331523768,0.0,0.0,0.0,0.0,0.0
ENSG00000170323,0.006880874020289756,0.0,0.0,0.0,0.0,0.0
ENSG00000159763,0.0,0.0,0.0,0.0,0.04864711982652965,0.0
ENSG00000158186,0.0,0.0,0.00321291162083359,0.0,0.0,0.0
ENSG00000157303,0.0,0.0,0.0,0.0,0.055482228716885074,0.0
ENSG00000106823,0.007620534048111831,0.0,0.0,0.0,0.0,0.0
ENSG00000144218,0.0,0.0,0.0,0.0,0.04652587913641935,0.0
ENSG00000157404,0.0,0.0,0.0,0.006864880856328331,0.0,0.0
ENSG00000156968,0.006975876225698096,0.0,0.0,0.0,0.0,0.0
ENSG00000188996,0.0,0.015486725663716814,0.0,0.0,0.0,0.0
ENSG00000162444,0.0,0.0,0.003218266473534979,0.0,0.0,0.0
ENSG00000139629,0.0,0.0,0.0031861373573266434,0.0,0.0,0.0
ENSG00000162746,0.0,0.06174577634754626,0.0,0.0,0.0,0.0
ENSG00000179456,0.007668035150816001,0.0,0.0,0.0,0.0,0.0
ENSG00000163710,0.0,0.0,0.0,0.003153407562799204,0.0,0.0
ENSG00000129437,0.0,0.06295253419147225,0.0,0.0,0.0,0.0
ENSG00000179388,0.006677297865843314,0.0,0.0,0.0,0.0,0.0
ENSG00000104490,0.0,0.0,0.002883588179698147,0.0,0.0,0.0
ENSG00000095739,0.008007328741560071,0.0,0.0,0.0,0.0,0.0
ENSG00000069702,0.006935160994808808,0.0,0.0,0.0,0.0,0.0
ENSG00000076555,0.005734061683574797,0.0,0.0,0.0,0.0,0.0
ENSG00000131771,0.0,0.0,0.0,0.0,0.0,0.058207858979067204
ENSG00000196549,0.0,0.0,0.0,0.006058038835995912,0.0,0.0
ENSG00000139211,0.0,0.0,0.0,0.007886880748749395,0.0,0.0
ENSG00000139970,0.005632273606351576,0.0,0.0,0.0,0.0,0.0
ENSG00000145423,0.0,0.0,0.0032477181633926203,0.0,0.0,0.0
ENSG00000135447,0.0,0.0,0.0,0.004444354795331074,0.0,0.0
ENSG00000006210,0.0,0.0,0.0,0.008007907051799257,0.0,0.0
ENSG00000179862,0.0,0.0,0.0,0.008054972836318649,0.0,0.0
ENSG00000145824,0.0,0.0,0.0032075567681322005,0.0,0.0,0.0
ENSG00000137501,0.0,0.0,0.0,0.0,0.0543037616668238,0.0
ENSG00000163072,0.007070878431106436,0.0,0.0,0.0,0.0,0.0
ENSG00000074410,0.0,0.0,0.0,0.0,0.0545865937588385,0.0
ENSG00000119927,0.0077223221253350524,0.0,0.0,0.0,0.0,0.0
ENSG00000164530,0.004281885115190174,0.0,0.0,0.0,0.0,0.0
ENSG00000159200,0.0,0.0,0.0,0.008175999139368511,0.0,0.0
ENSG00000166250,0.0,0.0,0.003140621109364834,0.0,0.0,0.0
ENSG00000062282,0.0,0.0,0.0,0.006764025603786778,0.0,0.0
ENSG00000163040,0.0,0.0,0.0,0.0,0.051899688884698786,0.0
ENSG00000109814,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000143387,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000108176,0.0,0.0,0.0,0.0,0.0507212218346375,0.0
ENSG00000140545,0.0,0.0,0.0,0.008216341240385132,0.0,0.0
ENSG00000173267,0.0,0.0,0.0,0.00767172287666075,0.0,0.0
ENSG00000131471,0.00800054286974519,0.0,0.0,0.0,0.0,0.0
ENSG00000189129,0.0067926576866962985,0.0,0.0,0.0,0.0,0.0
ENSG00000186340,0.0,0.0,0.003266460147847483,0.0,0.0,0.0
ENSG00000174827,0.0,0.12972646822204345,0.0,0.0,0.0,0.0
ENSG00000168350,0.0,0.0,0.0,0.0,0.049919864240595836,0.0
ENSG00000159212,0.0,0.0,0.0,0.0,0.0,0.048414738646101116
ENSG00000038427,0.0,0.0,0.0032396858843405365,0.0,0.0,0.0
ENSG00000124785,0.0,0.0,0.003175427651923865,0.0,0.0,0.0
ENSG00000123095,0.0,0.0,0.0032262987525870633,0.0,0.0,0.0
ENSG00000115380,0.0,0.0,0.0,0.00810876230434081,0.0,0.0
ENSG00000099194,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000112796,0.00785803956163268,0.0,0.0,0.0,0.0,0.0
ENSG00000198300,0.0,0.0,0.0,0.0,0.0,0.03715265026319011
ENSG00000106631,0.0009975231567875683,0.0,0.0,0.0,0.0,0.0
ENSG00000091986,0.008122688562413057,0.0,0.0,0.0,0.0,0.0
ENSG00000099953,0.0,0.0,0.0,0.007564143940616427,0.0,0.0
ENSG00000107562,0.008265191870525566,0.0,0.0,0.0,0.0,0.0
ENSG00000143196,0.00804804397244936,0.0,0.0,0.0,0.0,0.0
ENSG00000134202,0.0,0.0,0.0031914922100280325,0.0,0.0,0.0
ENSG00000132170,0.005964781325280766,0.0,0.0,0.0,0.0,0.0
ENSG00000197614,0.007919112407966614,0.0,0.0,0.0,0.0,0.0
ENSG00000106484,0.0,0.0,0.0031379436830141394,0.0,0.0,0.0
ENSG00000242265,0.006779085943066535,0.0,0.0,0.0,0.0,0.0
ENSG00000123689,0.007749465612594578,0.0,0.0,0.0,0.0,0.0
ENSG00000135437,0.001092525362195908,0.0,0.0,0.0,0.0,0.0
ENSG00000164932,0.0,0.0,0.00325307301609401,0.0,0.0,0.0
ENSG00000075886,0.0,0.0,0.0,0.0032542628153407562,0.0,0.0
ENSG00000112964,0.006161571607912327,0.0,0.0,0.0,0.0,0.0
ENSG00000134121,0.0,0.0,0.0,0.00214485503738368,0.0,0.0
ENSG00000143248,0.008265191870525566,0.0,0.0,0.0,0.0,0.0
ENSG00000173432,0.0,0.0,0.0,0.00769861761067183,0.0,0.0
ENSG00000163536,0.007966613510670783,0.0,0.0,0.0,0.0,0.0
ENSG00000136960,0.0074780307399993215,0.0,0.0,0.0,0.0,0.0
ENSG00000110799,0.00828554948597021,0.0,0.0,0.0,0.0,0.0
ENSG00000135549,0.007891968920707088,0.0,0.0,0.0,0.0,0.0
ENSG00000101230,0.0,0.0,0.0028005879628266125,0.0,0.0,0.0
ENSG00000174807,0.0,0.0,0.003266460147847483,0.0,0.0,0.0
ENSG00000170989,0.008183761408746989,0.0,0.0,0.0,0.0,0.0
ENSG00000122877,0.007763037356224341,0.0,0.0,0.0,0.0,0.0
ENSG00000111799,0.0,0.0,0.003266460147847483,0.0,0.0,0.0
ENSG00000106809,0.0,0.0,0.0,0.006185788822548545,0.0,0.0
ENSG00000149260,0.0,0.0,0.0024471676845349176,0.0,0.0,0.0
ENSG00000119699,0.0,0.0,0.0032637827214967883,0.0,0.0,0.0
ENSG00000137959,0.0,0.0,0.0028487816371391165,0.0,0.0,0.0
ENSG00000143578,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000161634,0.0,0.04505229283990346,0.0,0.0,0.0,0.0
ENSG00000119917,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000196616,0.0048858277067146206,0.0,0.0,0.0,0.0,0.0
ENSG00000148344,0.0,0.0,0.0032477181633926203,0.0,0.0,0.0
ENSG00000143320,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000078401,0.0,0.0,0.0,0.0073489860685277825,0.0,0.0
ENSG00000127920,0.008278763614155329,0.0,0.0,0.0,0.0,0.0
ENSG00000196177,0.0,0.0,0.0,0.0,0.05699066654096351,0.0
ENSG00000104368,0.008163403793302345,0.0,0.0,0.0,0.0,0.0
ENSG00000126878,0.0,0.0,0.0,0.007913775482760475,0.0,0.0
ENSG00000128606,0.0,0.0,0.0027631039939168874,0.0,0.0,0.0
ENSG00000169418,0.005835849760798019,0.0,0.0,0.0,0.0,0.0
ENSG00000132329,0.007539103586333254,0.0,0.0,0.0,0.0,0.0
ENSG00000103876,0.008278763614155329,0.0,0.0,0.0,0.0,0.0
ENSG00000109107,0.0,0.0,0.0,0.00724140713248346,0.0,0.0
ENSG00000141736,0.0,0.0,0.003269137574198178,0.0,0.0,0.0
ENSG00000197766,0.008081973331523768,0.0,0.0,0.0,0.0,0.0
ENSG00000137857,0.0,0.0,0.0012235838422674588,0.0,0.0,0.0
ENSG00000125740,0.00665694025039867,0.0,0.0,0.0,0.0,0.0
ENSG00000134321,0.0,0.0,0.003062975745194689,0.0,0.0,0.0
ENSG00000100628,0.0005903708478946833,0.0,0.0,0.0,0.0,0.0
ENSG00000183696,0.0,0.0,0.0028541364898405056,0.0,0.0,0.0
ENSG00000108823,0.0,0.0,0.0,0.0,0.0,0.003672420124862284
ENSG00000125775,0.0,0.0,0.0,0.004767091603464042,0.0,0.0
ENSG00000128298,0.0,0.0,0.0,0.0017817761282340919,0.0,0.0
ENSG00000137094,0.0,0.0,0.002530167901406452,0.0,0.0,0.0
ENSG00000129007,0.0,0.0,0.0002570329296666872,0.0,0.0,0.0
ENSG00000143546,0.0,0.0,0.0,0.006279920391587327,0.0,0.0
ENSG00000176153,0.0,0.0,0.0,0.00297859179172718,0.0,0.0
ENSG00000152463,0.0,0.0,0.0,0.00037652627615512884,0.0,0.0
ENSG00000102554,0.0,0.0,0.0,0.007375880802538863,0.0,0.0
ENSG00000117115,0.0,0.0,0.0,0.0076112097251358184,0.0,0.0
ENSG00000101194,0.003779730600888949,0.0,0.0,0.0,0.0,0.0
ENSG00000125144,0.0,0.0,0.0026988457615002154,0.0,0.0,0.0
ENSG00000176920,0.0,0.0,0.0023855868784689407,0.0,0.0,0.0
ENSG00000175287,0.006568723916805212,0.0,0.0,0.0,0.0,0.0
ENSG00000134201,0.0,0.0,0.0,0.0016809208756925393,0.0,0.0
ENSG00000183036,0.0,0.0,0.0,0.0012035393469958583,0.0,0.0
ENSG00000181649,0.007959827638855901,0.0,0.0,0.0,0.0,0.0
ENSG00000197380,0.0,0.0,0.001440455376673726,0.0,0.0,0.0
ENSG00000144485,0.006718013096732603,0.0,0.0,0.0,0.0,0.0
ENSG00000205420,0.0,0.0,0.0,0.002091065569361519,0.0,0.0
ENSG00000064886,0.0,0.0,0.0,0.006313538809101178,0.0,0.0
ENSG00000132688,0.0,0.0,0.0,0.008209617556882362,0.0,0.0
ENSG00000158270,0.0,0.0,0.0,0.007476736055080415,0.0,0.0
ENSG00000185567,0.0,0.0,0.002522135622354368,0.0,0.0,0.0
ENSG00000167617,0.0,0.0,0.0029880078073752387,0.0,0.0,0.0
ENSG00000167600,0.0,0.0,0.0020964248325939174,0.0,0.0,0.0
ENSG00000100003,0.007810538458928511,0.0,0.0,0.0,0.0,0.0
ENSG00000106772,0.00162860923557154,0.0,0.0,0.0,0.0,0.0
ENSG00000106258,0.0,0.0,0.0,0.00021515787208864503,0.0,0.0
ENSG00000149150,0.007790180843483867,0.0,0.0,0.0,0.0,0.0
ENSG00000142627,0.0,0.0,0.003162040520170391,0.0,0.0,0.0
ENSG00000178826,0.0,0.0,0.0022704575453890703,0.0,0.0,0.0
ENSG00000240891,0.0,0.0036202735317779565,0.0,0.0,0.0,0.0
ENSG00000168477,0.0031282869066603333,0.0,0.0,0.0,0.0,0.0
ENSG00000128591,0.004689037424083059,0.0,0.0,0.0,0.0,0.0
ENSG00000068650,0.0,0.0,0.002805942815528002,0.0,0.0,0.0
ENSG00000163347,0.0,0.0,0.0,0.007201065031466839,0.0,0.0
ENSG00000019549,0.0,0.0,0.003237008457989842,0.0,0.0,0.0
ENSG00000003989,0.0,0.0,0.0,0.0,0.04845856509851985,0.0
ENSG00000081181,0.0,0.0,0.0,0.0,0.0,0.03513281919451585
ENSG00000103485,0.00747124486818444,0.0,0.0,0.0,0.0,0.0
ENSG00000166831,0.0,0.0,0.002273134971739765,0.0,0.0,0.0
ENSG00000115590,0.0,0.0,0.0,0.0006253025657576247,0.0,0.0
ENSG00000129194,0.0,0.0,0.0,0.002333118175461245,0.0,0.0
ENSG00000064300,0.0,0.0,0.0,0.00554031520628261,0.0,0.0
ENSG00000125845,0.0,0.0,0.0,0.0016876445591953095,0.0,0.0
ENSG00000100918,0.004329386217894344,0.0,0.0,0.0,0.0,0.0
ENSG00000095303,0.0,0.0,0.0031379436830141394,0.0,0.0,0.0
ENSG00000108352,0.0065958674040647374,0.0,0.0,0.0,0.0,0.0
ENSG00000171401,0.0,0.0,0.0,0.0007799472863213383,0.0,0.0
ENSG00000197249,0.008244834255080921,0.0,0.0,0.0,0.0,0.0
ENSG00000114378,0.0,0.0,0.0,0.0023129471249529344,0.0,0.0
ENSG00000052802,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000136059,0.005333695246496794,0.0,0.0,0.0,0.0,0.0
ENSG00000060558,0.0,0.0,0.003127233977611361,0.0,0.0,0.0
ENSG00000188761,6.785871814881417e-05,0.0,0.0,0.0,0.0,0.0
ENSG00000124102,0.0,0.0,0.0,0.00298531547522995,0.0,0.0
ENSG00000064989,0.0,0.0,0.003140621109364834,0.0,0.0,0.0
ENSG00000101447,0.0,0.0,0.0028461042107884218,0.0,0.0,0.0
ENSG00000171557,0.0,0.0,0.0,0.0,0.0,0.005325009181050312
ENSG00000103316,0.0014182472093102162,0.0,0.0,0.0,0.0,0.0
ENSG00000101670,0.0,0.0,0.0,0.0005042762627077618,0.0,0.0
ENSG00000169469,0.0,0.0,0.0,0.0007059867677908665,0.0,0.0
ENSG00000099864,0.007708750381705289,0.0,0.0,0.0,0.0,0.0
ENSG00000162772,0.008020900485189835,0.0,0.0,0.0,0.0,0.0
ENSG00000042832,0.0,0.0,0.0,4.7065784519391105e-05,0.0,0.0
ENSG00000059915,0.0,0.039420756234915526,0.0,0.0,0.0,0.0
ENSG00000176894,0.0,0.0,0.003266460147847483,0.0,0.0,0.0
ENSG00000196083,0.0,0.0,0.0,0.0027970523371523854,0.0,0.0
ENSG00000229314,0.0,0.0,0.0,0.0,0.0,0.01995348267841841
ENSG00000153234,0.007803752587113629,0.0,0.0,0.0,0.0,0.0
ENSG00000198523,0.005625487734536695,0.0,0.0,0.0,0.0,0.0
ENSG00000105894,0.0,0.0,0.0,0.0076582755096552095,0.0,0.0
ENSG00000184232,0.0,0.0,0.0032637827214967883,0.0,0.0,0.0
ENSG00000076864,0.0,0.0,0.0030843951560002463,0.0,0.0,0.0
ENSG00000204323,0.0,0.0,0.0,0.0,0.0,0.0030603501040519037
ENSG00000121690,0.0,0.0,0.0,0.0009951051584099833,0.0,0.0
ENSG00000171560,0.0,0.0,0.0,0.0,0.0,0.0020810380707552943
ENSG00000158874,0.0,0.002614641995172969,0.0,0.0,0.0,0.0
ENSG00000164266,0.0,0.019509251810136765,0.0,0.0,0.0,0.0
ENSG00000169474,0.0,0.0,0.0,0.0011026840944543057,0.0,0.0
ENSG00000014914,0.0,0.0,0.0031058145668058034,0.0,0.0,0.0
ENSG00000106404,0.0,0.0,0.002899652737802315,0.0,0.0,0.0
ENSG00000125618,0.0,0.0,0.0006024209289062981,0.0,0.0,0.0
ENSG00000137198,0.0,0.0,0.003103137140455109,0.0,0.0,0.0
ENSG00000154330,0.00320971736843891,0.0,0.0,0.0,0.0,0.0
ENSG00000144354,0.0,0.0,0.0,0.004323328492281211,0.0,0.0
ENSG00000152766,0.006813015302140943,0.0,0.0,0.0,0.0,0.0
ENSG00000146205,0.0,0.019509251810136765,0.0,0.0,0.0,0.0
ENSG00000096088,0.0,0.0,0.0,0.0006521972997687053,0.0,0.0
ENSG00000126522,0.0,0.0,0.0032557504424447045,0.0,0.0,0.0
ENSG00000110245,0.0,0.0018101367658889783,0.0,0.0,0.0,0.0
ENSG00000241794,0.0,0.0,0.0,0.0004639341616911409,0.0,0.0
ENSG00000171564,0.0,0.0,0.0,0.0,0.0,0.00887501530175052
ENSG00000171476,0.0,0.0,0.001887585577239734,0.0,0.0,0.0
ENSG00000106927,0.0,0.05088495575221239,0.0,0.0,0.0,0.0
ENSG00000092607,0.0,0.0,0.0023962965838717192,0.0,0.0,0.0
ENSG00000118137,0.0,0.015285599356395816,0.0,0.0,0.0,0.0
ENSG00000163545,0.0,0.0,0.002859491342541895,0.0,0.0,0.0
ENSG00000136002,0.0,0.0,0.0,0.0017952234952396322,0.0,0.0
ENSG00000137726,0.0,0.0,0.0,0.007301920284008391,0.0,0.0
ENSG00000109072,0.0,0.018905872888173775,0.0,0.0,0.0,0.0
ENSG00000091583,0.0,0.0018101367658889783,0.0,0.0,0.0,0.0
ENSG00000169031,0.0,0.0,6.693565876736646e-05,0.0,0.0,0.0
ENSG00000160191,0.0,0.0,0.0,0.004471249529342155,0.0,0.0
ENSG00000150782,0.0,0.0,0.003001394939128712,0.0,0.0,0.0
ENSG00000073605,0.0,0.0,0.002262425266336986,0.0,0.0,0.0
ENSG00000068078,0.006161571607912327,0.0,0.0,0.0,0.0,0.0
ENSG00000160867,0.0,0.0,0.0,0.004605723199397558,0.0,0.0
ENSG00000160200,0.0,0.0,0.0,0.00011430261954709268,0.0,0.0
ENSG00000186352,0.0,0.0,0.002530167901406452,0.0,0.0,0.0
ENSG00000140807,0.0,0.0,0.0,0.0,0.0,0.004835353164402007
ENSG00000113296,0.0,0.0,0.0,0.007288472917002851,0.0,0.0
ENSG00000165272,0.0,0.0,0.0,0.007463288688074875,0.0,0.0
ENSG00000160213,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000171747,0.0001560750517422726,0.0,0.0,0.0,0.0,0.0
ENSG00000132561,0.0,0.0,0.002717587745955078,0.0,0.0,0.0
ENSG00000137880,0.0,0.0,0.002631910102732849,0.0,0.0,0.0
ENSG00000059728,0.0,0.0,0.0032557504424447045,0.0,0.0,0.0
ENSG00000160886,0.0,0.0,0.0010361639977188328,0.0,0.0,0.0
ENSG00000148803,0.0,0.0,0.0,0.007362433435533323,0.0,0.0
ENSG00000161267,0.0,0.0,0.0031058145668058034,0.0,0.0,0.0
ENSG00000158825,0.0,0.0,0.0024016514365731083,0.0,0.0,0.0
ENSG00000077943,0.0,0.0,0.0012209064159167643,0.0,0.0,0.0
ENSG00000113070,0.0,0.0,0.0031379436830141394,0.0,0.0,0.0
ENSG00000186907,0.0,0.0,0.0022865221034932383,0.0,0.0,0.0
ENSG00000121552,0.0,0.0,0.0,0.0073086439675111615,0.0,0.0
ENSG00000117472,0.0,0.0,0.0,0.0,0.05303101725275761,0.0
ENSG00000205517,0.0,0.0,0.002332038351455047,0.0,0.0,0.0
ENSG00000080493,0.0,0.0,0.0,0.0,0.0,0.009242257314236748
ENSG00000119630,0.0,0.0,0.0024551999635870018,0.0,0.0,0.0
ENSG00000103257,0.0,0.0,0.0032209438998856738,0.0,0.0,0.0
ENSG00000105717,0.0,0.0,0.0,0.0010152762089182938,0.0,0.0
ENSG00000168878,0.0,0.008246178600160902,0.0,0.0,0.0,0.0
ENSG00000124920,0.0,0.0,0.0001927746972500154,0.0,0.0,0.0
ENSG00000163631,0.0,0.05953338696701529,0.0,0.0,0.0,0.0
ENSG00000115525,0.0,0.0,0.0029558786911669027,0.0,0.0,0.0
ENSG00000125257,0.0,0.0,0.0,0.004108170620192566,0.0,0.0
ENSG00000163884,0.0025650595460251758,0.0,0.0,0.0,0.0,0.0
ENSG00000152804,0.007505174227258847,0.0,0.0,0.0,0.0,0.0
ENSG00000142494,0.0,0.0,0.0005006787275799011,0.0,0.0,0.0
ENSG00000075073,0.0,0.0,0.0002436457979132139,0.0,0.0,0.0
ENSG00000197142,0.0,0.0,0.0031513308147676127,0.0,0.0,0.0
ENSG00000253368,0.0,0.0,0.0028353945053856433,0.0,0.0,0.0
ENSG00000019102,0.0,0.0,0.0,0.004061104835673175,0.0,0.0
ENSG00000158467,0.0,0.0,0.00325307301609401,0.0,0.0,0.0
ENSG00000088836,0.0,0.0,0.0,0.004652788983916949,0.0,0.0
ENSG00000169715,0.0,0.0,0.0032557504424447045,0.0,0.0,0.0
ENSG00000151726,0.0,0.0,0.0032584278687953993,0.0,0.0,0.0
ENSG00000253958,0.0,0.0,0.0,0.007322091334516702,0.0,0.0
ENSG00000135744,0.0,0.0,0.0,0.006286644075090097,0.0,0.0
ENSG00000118271,0.0,0.0,0.0,6.723683502770157e-05,0.0,0.0
ENSG00000065320,0.0,0.0,0.0026506520871877118,0.0,0.0,0.0
ENSG00000117394,0.0,0.0,0.003269137574198178,0.0,0.0,0.0
ENSG00000213398,0.0,0.0,0.0,0.00554031520628261,0.0,0.0
ENSG00000021355,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000108187,0.0,0.0,0.0027952331101252234,0.0,0.0,0.0
ENSG00000139410,0.0,0.0,0.0032236213262363685,0.0,0.0,0.0
ENSG00000113924,0.0,0.0,0.0,0.004410736377817223,0.0,0.0
ENSG00000197165,0.0,0.0,0.0,0.0,0.015885735834826057,0.0
ENSG00000178934,0.0,0.0,0.0,0.0012909472325318702,0.0,0.0
ENSG00000185633,0.0,0.0,0.0,0.008068420203324189,0.0,0.0
ENSG00000198848,0.0,0.0,0.0,0.005614275724813081,0.0,0.0
ENSG00000006453,0.0,0.0,0.00325307301609401,0.0,0.0,0.0
ENSG00000102934,0.0036711566518508464,0.0,0.0,0.0,0.0,0.0
ENSG00000120306,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000136371,0.0,0.0,0.003038878908038437,0.0,0.0,0.0
ENSG00000136872,0.0,0.0022123893805309734,0.0,0.0,0.0,0.0
ENSG00000131015,0.0,0.0,0.0,0.0018153945457479426,0.0,0.0
ENSG00000171346,0.0,0.0,0.0,0.0069052229573449515,0.0,0.0
ENSG00000130513,0.006806229430326061,0.0,0.0,0.0,0.0,0.0
ENSG00000130649,0.0,0.004022526146419952,0.0,0.0,0.0,0.0
ENSG00000002933,0.0,0.0,0.00321291162083359,0.0,0.0,0.0
ENSG00000072042,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000198417,0.007763037356224341,0.0,0.0,0.0,0.0,0.0
ENSG00000124839,0.0,0.0,0.0030683305978960783,0.0,0.0,0.0
ENSG00000176919,0.0,0.0,0.0,0.0010892367274487654,0.0,0.0
ENSG00000167656,0.0,0.0,0.0,0.0018019471787424023,0.0,0.0
ENSG00000168237,0.003990092627150273,0.0,0.0,0.0,0.0,0.0
ENSG00000101213,0.007545889458148136,0.0,0.0,0.0,0.0,0.0
ENSG00000130208,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000166278,0.0,0.0,0.0030576208924933,0.0,0.0,0.0
ENSG00000114270,0.0,0.0,0.001975940646812658,0.0,0.0,0.0
ENSG00000149596,0.0024157703660977843,0.0,0.0,0.0,0.0,0.0
ENSG00000169583,0.0,0.0,0.0,0.006098380937012533,0.0,0.0
ENSG00000140519,0.0,0.0,0.0,0.0011699209294820075,0.0,0.0
ENSG00000158715,0.0,0.0,0.002696168335149521,0.0,0.0,0.0
ENSG00000112972,0.0,0.0,0.0032718150005488725,0.0,0.0,0.0
ENSG00000110169,0.0,0.0,0.0,0.005506696788768759,0.0,0.0
