,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
ENSG00000000938,0.0012916517647696666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000000971,0.0021558847783783716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000001084,0.0,0.017390190553136144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002933,0.003093433584979011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003436,0.0,0.0,0.005718577368892048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000003989,0.0,0.0,0.0,0.0,0.015085897015603523,0.0,0.0,0.0,0.0,0.0
ENSG00000004776,0.0,0.0,0.0,0.0,0.0,0.0,0.0018503839715015868,0.0,0.0,0.0
ENSG00000004838,0.0,0.0,0.0009291211003401887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005249,0.0005175232446489482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006016,0.0,0.0,0.0,0.0,0.04074860097428553,0.0,0.0,0.0,0.0,0.0
ENSG00000006128,0.0,0.0,0.0,0.0,0.0029835337692887256,0.0,0.0,0.0,0.0,0.0
ENSG00000006210,0.0035593585299382577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006453,0.0032551595989318075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006534,0.0,0.0,0.0,0.0,0.0,0.0,0.004818113954549082,0.0,0.0,0.0
ENSG00000008853,0.0,0.0,0.0,0.0,0.0,0.0,0.004788305239955344,0.0,0.0,0.0
ENSG00000009724,4.312693705407902e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000010282,0.0,0.0,0.0,0.0,0.0,0.0005302150389458695,0.0,0.0,0.0,0.0
ENSG00000010438,0.0,0.0016862362025622908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000010610,0.004102911961594846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011600,0.015798167166785112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000013588,0.010443803906746008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000014914,0.0007642709345083576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000017427,1.7096750046438468e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000018280,0.0007125186100434627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000018625,0.0,0.0,0.0,0.0,0.0003249535575225311,0.0,0.0,0.0,0.0,0.0
ENSG00000019102,0.0,0.0,0.00675120581988417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000019169,0.0,0.0,0.0,0.0,0.0,0.0,0.014099201479025082,0.0,0.0,0.0
ENSG00000019549,0.0,0.010410186105301087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000019991,0.00018760217618524376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000021355,0.011138763692417453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000021826,0.0,0.0,0.0,0.0,0.0,0.017885570670183936,0.0,0.0,0.0,0.0
ENSG00000023330,0.004711771897933327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000023445,0.0,0.0,0.0,0.0,0.0,0.0,0.004109115280556096,0.0,0.0,0.0
ENSG00000023839,0.0,0.0,0.0,0.013907780506285203,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000025423,0.0,0.0,0.0,0.0,0.015761685387442416,0.0,0.0,0.0,0.0,0.0
ENSG00000029534,0.0,0.00010415816276261228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000034971,0.0,0.0002653218064966543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000035664,0.000195611464495287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000036448,0.0,0.0,0.0,0.0,0.0,0.0,2.5641905026871114e-05,0.0,0.0,0.0
ENSG00000038427,0.0028530009109025206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000038945,0.0015961587453265033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000041982,0.008472594833824211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000042832,1.5094427968927657e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000047457,0.0,0.0,0.0,0.0,0.0,0.0,0.012687935131108663,0.0,0.0,0.0
ENSG00000048740,0.001119452066103737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049089,0.0,0.0,0.0,0.034365500305815984,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049759,0.0012021633703824528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000050767,0.0,0.0,0.0,0.0023095953187332826,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000052802,0.005540271163697223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000053438,0.0,0.0,0.0,0.012205252731803949,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000053747,0.0,0.009180697521880252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000054690,0.0,0.0,0.0,0.0,0.0,0.0,0.0001769291446854107,0.0,0.0,0.0
ENSG00000059728,0.001183680397359276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000059804,0.002437288042656237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000059915,0.0,0.0,0.0,0.0,0.0,0.0,0.0001391073347707758,0.0,0.0,0.0
ENSG00000060558,0.002846685895119602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000060982,0.0,0.0,0.0,0.0,0.0,0.0,0.0024699565017133602,0.0,0.0,0.0
ENSG00000062282,0.00023504180694473067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064300,0.0,0.0,0.0,0.020037793377942908,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064655,0.0,0.006873734970962393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064692,0.00011721285392197905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064886,0.0,0.0,0.0,0.0,0.0,0.0,0.002009043258855352,0.0,0.0,0.0
ENSG00000064989,0.001323996967560226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065320,0.0,0.0033499517212840168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000066230,0.0,0.0006045396068451619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000066336,0.0036705644176277044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000068078,0.0,0.015592758474111066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000068650,0.0028320535414762533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000068976,0.0,0.0,0.0,0.0,6.038959918560312e-05,0.0,0.0,0.0,0.0,0.0
ENSG00000069702,0.00047917107562585657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000072042,0.0024129521281757212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000072274,0.0,0.0,0.0,0.0,0.0,0.0,0.022536349804304186,0.0,0.0,0.0
ENSG00000072832,0.0,0.00247727522246213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000073060,0.0011499489715919786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000073605,0.0006214899679043174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000073756,0.0,0.0,0.0,0.0,0.0,0.0,0.006932930071640277,0.0,0.0,0.0
ENSG00000073849,0.002326390204517177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000074410,0.0,0.010944348575144484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000074527,0.0022145682177269576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075073,1.3246130666609985e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075239,0.001443212143559716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075618,0.0,0.0,0.0,0.0,0.0,0.0,0.025726523313459787,0.0,0.0,0.0
ENSG00000075886,0.0,0.0,0.0,0.0,0.0,0.0,1.185938107492789e-05,0.0,0.0,0.0
ENSG00000076555,0.0,0.0,0.00026039841364797396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000076864,0.0,0.0,0.0,0.0,0.018405887123212037,0.0,0.0,0.0,0.0,0.0
ENSG00000077009,0.0,0.0,0.0,0.0,0.0,5.905860582317853e-05,0.0,0.0,0.0,0.0
ENSG00000077157,0.0004292670484632794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000077522,0.0,5.70054809714297e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000077943,0.0,0.0,0.0,0.0,0.0,0.0,0.0007497051982231442,0.0,0.0,0.0
ENSG00000078401,0.0,0.0,0.006944772715788376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078814,0.0,0.0,0.0,0.0,0.0,0.0,5.897638156180356e-05,0.0,0.0,0.0
ENSG00000079337,0.00011259211066618488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000079385,0.0012807160057309538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000079435,0.00010704721875923186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000080493,0.0,0.0,0.0,0.0,0.0,0.0,0.0010006753436736452,0.0,0.0,0.0
ENSG00000081041,0.0,0.0,0.0,0.0,0.0,0.0,0.010921848922382914,0.0,0.0,0.0
ENSG00000081181,0.0,0.0,0.0,0.0,0.0,0.0,0.000978559200587969,0.0,0.0,0.0
ENSG00000081277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03362981353634859,0.0,0.0
ENSG00000082196,0.00037042958433950015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000083807,0.0,0.0,0.0,0.0,0.0,0.0,0.00010801652492569456,0.0,0.0,0.0
ENSG00000085265,0.0003950735483704025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085563,0.0,0.0,0.0,0.0,0.0,0.0,0.00011538857262092001,0.0,0.0,0.0
ENSG00000085662,0.0,0.02361082569272216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000086967,4.666950688352123e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000087237,8.209520517794329e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000087250,0.0,0.0,0.0,0.00131455227627507,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000088002,0.0008144830112213209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000088325,0.004247849275051591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000088836,0.0,0.004051611777191614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000088882,0.0013344706522733594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000089199,0.0,0.0,0.0,0.03101978218599089,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000090339,0.0135466330030118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000091513,0.0,0.0,0.0,0.01682900778689647,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000091583,0.0,0.0,0.0,0.02230174452041664,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000091704,0.0,0.0,0.0,0.0001049816053969674,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000091947,0.0022706332358972607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000091986,0.002024347620363431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000092054,0.0,0.0,0.0,0.0,1.2940628396914954e-05,0.0,0.0,0.0,0.0,0.0
ENSG00000092295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009314665358719401,0.0
ENSG00000092607,0.0,0.0,0.0,0.0,0.0024256489006217255,0.0,0.0,0.0,0.0,0.0
ENSG00000092758,0.0,0.0,0.0,0.005522945327405676,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000095303,0.0006820217045552211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000095637,0.0,0.0,0.0,0.0,0.0,0.0,0.0006561122448750646,0.0,0.0,0.0
ENSG00000095739,0.0,0.0,0.0,0.0,0.016217483076533753,0.0,0.0,0.0,0.0,0.0
ENSG00000096088,0.0,0.0,0.0,0.0,0.0,0.5750917048907088,0.0,0.0,0.0,0.0
ENSG00000096696,0.012566265308907469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099194,0.018582627052726685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099864,0.0006439775850825156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099953,0.0,0.0,0.0,0.0,0.0,0.0,0.007944823748763178,0.0,0.0,0.0
ENSG00000099958,0.0017957748539768118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099984,2.002322077510812e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000099994,0.0,0.0,0.0,0.0,0.051395862449747226,0.0,0.0,0.0,0.0,0.0
ENSG00000100003,0.0,0.0,0.0,0.0,0.0,0.0,0.0006843183404046228,0.0,0.0,0.0
ENSG00000100031,0.0008594582455777177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100033,0.0,0.0,0.0,0.0,0.004642809899293154,0.0,0.0,0.0,0.0,0.0
ENSG00000100197,0.0,0.0,0.0,0.0023324174068630583,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100285,0.0,0.0,0.0,0.009279461033566727,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100292,0.006193336210516134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100473,0.0,0.0,0.0,0.0,0.0,0.0,0.0010211888676951422,0.0,0.0,0.0
ENSG00000100577,0.00033115326666524966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100604,0.0,0.0,0.0,0.016422774618186465,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100628,0.0,0.0005250134420331673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100889,0.0018304304283952683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100918,0.0006416672134546186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100985,0.007733121888121948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101000,0.0030252006095684504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101194,0.0005718939902921265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101210,0.0,0.0,0.0,0.0,0.0,0.0,0.007830396747580766,0.0,0.0,0.0
ENSG00000101213,0.0,0.0,0.0,0.0,0.0,0.0,0.003269663414738903,0.0,0.0,0.0
ENSG00000101230,0.00046038005305229355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101307,0.0,0.0,0.0,0.0,0.0,0.0,0.00029359981255767427,0.0,0.0,0.0
ENSG00000101405,0.0,0.0,0.0,0.0,0.0,0.0,3.814233372747078e-05,0.0,0.0,0.0
ENSG00000101447,0.0024243499615400135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101470,0.0,0.0,0.0,0.03024839560720448,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101577,0.002436825968330658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101605,0.0,0.0,4.27884717261929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101670,0.0,0.0,0.0,0.0,0.0,0.0,0.0002080199545304919,0.0,0.0,0.0
ENSG00000102554,0.008677909859156665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102575,0.008060578560182562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102743,0.0005654249497340147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102760,0.010695018315086019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012317742007401792,0.0
ENSG00000102886,0.0004448235507577865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102934,0.0005424752582302368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000102967,0.0002761664219212989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103034,0.0,0.0023991566003901707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103044,0.0,0.017129091374859597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103257,0.008456576257204123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103316,0.0,0.0,0.0,0.0,0.006523514559644794,0.0,0.0,0.0,0.0,0.0
ENSG00000103485,0.0,0.0,0.0,0.0,0.0,0.0,0.0032337647477012833,0.0,0.0,0.0
ENSG00000103569,0.0007557995718727349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103710,0.0007259187654852659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000103876,0.0006968080829737625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104140,0.0,0.019984995594391222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104154,0.00011012771426309464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104267,0.0028751804785303327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104332,0.0,0.0,0.0,0.018942333147713684,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104368,0.0,0.0,0.0,0.0,0.0,0.0,0.00865029666081497,0.0,0.0,0.0
ENSG00000104435,0.0,0.0,0.0,0.003099239568023516,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104447,0.0003052771044328022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104490,0.0004194094628509185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104783,0.0,0.0,0.0,0.0,0.017638076504995083,0.0,0.0,0.0,0.0,0.0
ENSG00000104833,0.00016218808827837575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104879,0.0,0.0,0.0,0.0025925892115424994,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000104894,0.001465545735962721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105048,0.0,0.0,0.0,0.0,0.016479171339671365,0.0,0.0,0.0,0.0,0.0
ENSG00000105088,0.0014493731345674415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105173,0.0007759768174230361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105270,0.0007408591686790003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105290,0.0,0.0,0.0,0.0,0.0,0.0,0.0008622090565285412,0.0,0.0,0.0
ENSG00000105369,0.00359185775750401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105374,0.002409255533571086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105427,0.0,0.009638852683761743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105519,0.0,0.0,0.004918229192984972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105655,0.002618421178283369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105697,3.727399559673973e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
